prompt,response
I have some changes on menu. How can I connect to them?,"You can reach the ""Menu Team"" by calling the number 0145***65"
I want to increase the menu prices by 10%.,"You can apply the changes by the app that is installed on your phone. You can have access to the ""Edit Prices"" on the ""Edit Menu"" section in the app. In case we will report the issue to the ""Menu Team"" to call you for further details."
Hi I want to change the name of one product name.,"You can change the name of product by using the installed app on your phone. There is a ""Menu Products Change"" button on ""Edit Menu"" section. In case we will report the issue to the ""Menu Team"" to call you for further details."
I want to remove one product from my menu.,"You can remove the product by using the installed app on your phone. There is a ""Menu Products Change"" button on ""Edit Menu"" section. In case we will report the issue to the ""Menu Team"" to call you for further details."
I want to speak with Support team. How can I connect to them?,"You can reach the ""Support Team"" by calling the number 0145***95"
I want to speak with Menu team. How can I connect to them?,"You can reach the ""Menu Team"" by calling the number 0145***65"
My Printer is not working.,"Thanks for the report. Here are some actions to fix the issue: 1. Please check the cables that I pluged in correctly. 2. make sure there is paper inside the printer. 3. Switch off and switch on the printer again. In case we will report the issue to the ""Support Team"" to call you for further details."
My till freezed again.,"Thanks for the report. Here are some actions to fix the issue: 1. Please check the cables that I pluged in correctly. 2. make sure you have suitable internet connection 3. Switch off and switch on the till again. In case we will report the issue to the ""Support Team"" to call you for further details."
I want to change the deliver and collection time on till and website,"Thanks for the report. On till on the Market app, there is a section named: ""Delivery and Collection Time"" on the system setup setting. You can change the time over there and ""Sync it with the website"" to apply it on your website.  "
I don't have online orders from website. Is there any issue on website?,"Thanks for the report. Here are some action to check: 1. make sure your till is connected to the internet sucessfully. 2. Open your website, visit the ""Menu"" section and check if it is orderable. By the way, I will inform the ""Support Team"" to place test order from your website to check everything goes smoothly."
I want to close the shop for tomorrow. How can I close the website?,"Thanks for the report. You can close the website from the installed app. You can reach to the related part by ""Shop Situation"" from the app. By the way, I will inform the ""Care Team"" to close the website for you."
I have an order and I want to refund it.,"The ""Care Team"" will call you shortley regarding this matter."
When I can call you?,"We are available from 9 AM to 11 PM 7 days a week to have communication with all partners. Also You can reach the ""Support Team"" by calling the number 0145***95"
Can we call you on holidays?,"Yes. We can get in touch with all partners from 9 AM to 11 PM 7 days a week. Also You can reach the ""Support Team"" by calling the number 0145***95"
I want to  receive my invoice.,"I will inform the ""Credit Control Team"" to send the pdf file of your monthly invoice."
How much is your rent for the till?,500£ at first of contract and 13.20£ weekly
How much is your rent for the Kiosk?,1500£ at first of contract and 20£ weekly
How much is your rent for the APOS?,350£ at first of contract and 10£ weekly
How much is your rent for the PDQ?,450 ar first of contract and 15£ weekly
I want you send me an engineer to set up my till,"I will inform the ""Engineering Team"" to call you and set up the day of visit to come to your shop"
I want to cancell my deal,"I am sorry for the inconvenience. I will report this matter to ""Partner Care Team"" to get in touch with you regarding this matter."
I want to add deal / promotion to my menu,"Thank for report. You can send the details via WhatsApp to the number of 077**6194. Also I will inform the ""Menu Team"" to call you for further details."
I want to advertise me on social media.,"This is related to ""Marketing Team"". They will advertise your shop name with your location on Facebook, Instagram and TikTok."
I want carrier bag of your branch,"Thanks for reaching us. This is related to ""Onboarding Team"". They will set the deal for you and you can have them in some couple of days."
Please send me Flyers.,"Thanks for reaching us. The flyers will be design by our ""Graphic Team"" and they will send the final preparation for your confirmation. Then ""Onboarding Team"" will set the deal for you and you can have them in some couple of days. "
Do you offer EPOS system?,Yes
Do you offer Kiosk system?,Yes
Do you offer PDQ?,Yes
Do you offer APOS system?,Yes
Do you offer Zopay panel?,Yes
Do you offer Screen Menu?,Yes
Do you offer Imin system?,Yes
Do you offer card machine?,Yes
Do you offer APOS system?,Yes
Do you offer APOS system?,Yes
Do you design paper menu?,Yes
Do you offer website?,Yes
Do you offer application?,Yes
How many days it takes to set up the systems after contract deal?,7 days
How many days it takes to update the menu?,2 days
How many days it takes to send engineer to shop?,3 days
How many days it takes to send flyers?,5 days
How many days it takes to advertise my business?,"""Marketing Team"" can advertise your business for 3 month"
I want to push notification to my app.,"""Marketing Team"" will prepare the details and will send you for your confirmation. "
I want to send messages to my customers to advertise my shop,"""Marketing Team"" will prepare the details and will send you for your confirmation. "
I want to speak with Care team. How can I connect to them?,"You can reach the ""Care Team"" by calling the number 0145***94"
I want to speak with Onboarding team. How can I connect to them?,"You can reach the ""Onboarding Team"" by calling the number 0145***91"
I want to speak with Graphic team. How can I connect to them?,"You can reach the ""Graphic Team"" by calling the number 0145***93"
I want to speak with Partner Care team. How can I connect to them?,"You can reach the ""Partner CareTeam"" by calling the number 0145***92"
I want to speak with Marketing team. How can I connect to them?,"You can reach the ""Marketing Team"" by calling the number 0145***90"
I want to speak with Credit Control team. How can I connect to them?,"You can reach the ""Credit Control Team"" by calling the number 0145***89"
I have some question about my payments. ,"You can reach the ""Credit Control Team"" by calling the number 0145***89"
